name,content,label
logo_draft_v8560.psd,,design
invoice_2813_umbrella.pdf,dear sir or madam invoice total due agreement between parties,documents
cooking_book.epub,chapter one it was a preface acknowledgements,books
scan_doc1833.jpg,,images
metrics_2019-06-11.json,"{""status"": ""ok"", ""items"": 42} id,name,value",data
manual_v9428.pdf,meeting agenda attendees,documents
voice_memo_2228.m4a,,audio
quarterly_review_q2.pptx,market opportunity pricing market opportunity pricing slide overview agenda,presentations
grotesk_medium.woff2,,fonts
voice_memo_5846.m4a,,audio
invoice_4950_hooli.pdf,meeting agenda attendees,documents
expenses_may.xlsx,"column,values",spreadsheets
download_3141,,other
inter_bold.ttf,,fonts
invoice_5108_acme.pdf,,documents
customers_export.tsv,"{""status"": ""ok"", ""items"": 42} id,name,value id,name,value",data
inter_bold.ttf,,fonts
meeting_notes_2021-03-20.txt,agreement between parties meeting agenda attendees,documents
receipt_7021.pdf,dear sir or madam agreement between parties,documents
drone_flight_mountains.mov,,videos
utils_8441.py,export default component,code
photos_archive_2024.tar.gz,,archives
backup_2016-05-24.zip,compressed archive contents compressed archive contents compressed archive contents,archives
VID_4482.mp4,,videos
logo_draft_v320.psd,layer mask vector artboard layer mask vector artboard,design
voice_memo_3032.m4a,,audio
voice_memo_9197.m4a,,audio
logo_draft_v8257.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
VID_8217.mp4,,videos
styles_main.css,export default component import pandas as pd,code
VID_9942.mp4,,videos
family_trip.png,,images
marketing_book.epub,preface acknowledgements preface acknowledgements,books
letter_to_umbrella.txt,invoice total due agreement between parties,documents
birthday_2022.mp4,,videos
hours_tracking_4094.ods,,spreadsheets
server_main.go,export default component,code
history_book.epub,,books
scan_doc2825.jpg,,images
gothic_3661.otf,,fonts
export_orders.csv,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
calibre_9422.mobi,chapter one it was a chapter one it was a chapter one it was a preface acknowledgements,books
family_trip.png,,images
banner_7339.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
photos_archive_2024.tar.gz,,archives
document1,,other
backup_2020-04-23.zip,compressed archive contents compressed archive contents compressed archive contents,archives
calibre_9145.mobi,chapter one it was a chapter one it was a,books
backup_2017-05-10.zip,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
query_runner.py,export default component,code
resume_jo_patel.docx,meeting agenda attendees meeting agenda attendees,documents
styles_main.css,export default component function render props,code
banner_1487.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
photos_archive_2015.tar.gz,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
metrics_2017-11-27.json,"id,name,value id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
banner_5649.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
photos_archive_2023.tar.gz,compressed archive contents,archives
photos_archive_2020.tar.gz,compressed archive contents,archives
physics_book.epub,preface acknowledgements preface acknowledgements preface acknowledgements chapter one it was a,books
history_book.epub,,books
calibre_7955.mobi,preface acknowledgements preface acknowledgements chapter one it was a,books
banner_155.ai,,design
meeting_notes_2021-12-26.txt,,documents
quarterly_review_q4.pptx,slide overview agenda market opportunity pricing,presentations
pitch_deck_v6519.pptx,market opportunity pricing,presentations
quarterly_review_q1.pptx,market opportunity pricing market opportunity pricing slide overview agenda,presentations
cooking_book.epub,preface acknowledgements,books
utils_9219.py,import pandas as pd export default component,code
scan_doc8961.jpg,,images
budget_2022.xlsx,"budget forecast q1 sum of expenses column,values sum of expenses",spreadsheets
calibre_4068.mobi,,books
backup_2018-08-06.zip,compressed archive contents compressed archive contents,archives
server_main.go,export default component export default component import pandas as pd export default component,code
styles_main.css,,code
export_events.csv,"id,name,value",data
VID_2277.mp4,,videos
receipt_9778.pdf,dear sir or madam agreement between parties dear sir or madam,documents
photos_archive_2025.tar.gz,compressed archive contents compressed archive contents,archives
cooking_book.epub,chapter one it was a preface acknowledgements,books
app_component_5953.tsx,import pandas as pd export default component function render props,code
export_orders.csv,"id,name,value id,name,value",data
scan_doc1401.jpg,,images
wireframes_9141.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
family_dinner.png,,images
customers_export.tsv,"{""status"": ""ok"", ""items"": 42} id,name,value id,name,value id,name,value",data
utils_329.py,,code
budget_2016.xlsx,,spreadsheets
VID_4452.mp4,,videos
grotesk_medium.woff2,,fonts
quarterly_review_q3.pptx,market opportunity pricing market opportunity pricing,presentations
lecture_cooking.mkv,,videos
pitch_deck_v7646.pptx,slide overview agenda market opportunity pricing,presentations
expenses_apr.xlsx,"sum of expenses budget forecast q1 column,values column,values",spreadsheets
drone_flight_beach.mov,,videos
VID_8348.mp4,,videos
banner_9710.ai,layer mask vector artboard,design
backup_2025-04-16.zip,,archives
budget_2018.xlsx,"column,values budget forecast q1",spreadsheets
download_8116,,other
document1,,other
backup_2018-10-15.zip,compressed archive contents compressed archive contents compressed archive contents,archives
marketing_book.epub,,books
report_draft_5846.docx,dear sir or madam,documents
vacation_city.jpeg,,images
wireframes_9041.fig,layer mask vector artboard layer mask vector artboard,design
hours_tracking_1767.ods,,spreadsheets
grotesk_medium.woff2,,fonts
physics_book.epub,preface acknowledgements preface acknowledgements preface acknowledgements preface acknowledgements,books
document1,,other
vacation_lake.jpeg,,images
pitch_deck_v6896.pptx,market opportunity pricing slide overview agenda market opportunity pricing slide overview agenda,presentations
family_graduation.png,,images
podcast_ep9202.mp3,,audio
expenses_jun.xlsx,"column,values sum of expenses budget forecast q1",spreadsheets
grotesk_medium.woff2,,fonts
gothic_6657.otf,,fonts
pitch_deck_v4084.pptx,,presentations
meeting_notes_2016-08-16.txt,agreement between parties,documents
calibre_515.mobi,preface acknowledgements chapter one it was a chapter one it was a,books
pitch_deck_v7305.pptx,market opportunity pricing market opportunity pricing market opportunity pricing slide overview agenda,presentations
budget_2025.xlsx,,spreadsheets
pitch_deck_v6243.pptx,slide overview agenda slide overview agenda slide overview agenda,presentations
quarterly_review_q3.pptx,slide overview agenda slide overview agenda,presentations
family_trip.png,,images
calibre_3163.mobi,preface acknowledgements preface acknowledgements chapter one it was a chapter one it was a,books
gothic_3072.otf,,fonts
screenshot_2023-12-24.png,,images
VID_1399.mp4,,videos
backup_2024-12-10.zip,compressed archive contents compressed archive contents compressed archive contents,archives
lecture_marketing.mkv,,videos
letter_to_initech.txt,invoice total due invoice total due agreement between parties meeting agenda attendees,documents
customers_export.tsv,"id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
styles_main.css,import pandas as pd function render props function render props,code
photos_archive_2022.tar.gz,compressed archive contents compressed archive contents compressed archive contents,archives
history_book.epub,,books
export_users.csv,"id,name,value",data
quarterly_review_q1.pptx,,presentations
budget_2016.xlsx,"column,values",spreadsheets
untitled_4455,,other
gardening_book.epub,chapter one it was a chapter one it was a chapter one it was a preface acknowledgements,books
scan_doc7178.jpg,,images
budget_2016.xlsx,"column,values column,values column,values budget forecast q1",spreadsheets
backup_2021-04-19.zip,,archives
inter_bold.ttf,,fonts
meeting_notes_2025-07-02.txt,invoice total due meeting agenda attendees meeting agenda attendees,documents
document1,,other
query_runner.py,function render props,code
server_main.go,,code
wireframes_1996.fig,layer mask vector artboard layer mask vector artboard,design
project_export_9551.7z,compressed archive contents compressed archive contents compressed archive contents,archives
server_main.go,export default component function render props function render props,code
training_marketing.key,slide overview agenda market opportunity pricing slide overview agenda market opportunity pricing,presentations
lease_agreement_9264.pdf,dear sir or madam,documents
logo_draft_v1287.psd,,design
logo_draft_v3761.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
screenshot_2016-12-21.png,,images
lecture_physics.mkv,,videos
receipt_4918.pdf,invoice total due meeting agenda attendees invoice total due agreement between parties,documents
customers_export.tsv,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42}",data
quarterly_review_q2.pptx,market opportunity pricing market opportunity pricing,presentations
expenses_apr.xlsx,sum of expenses sum of expenses sum of expenses,spreadsheets
utils_3111.py,function render props export default component,code
logo_draft_v2646.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
grotesk_medium.woff2,,fonts
styles_main.css,import pandas as pd,code
calibre_9715.mobi,preface acknowledgements,books
hours_tracking_1621.ods,,spreadsheets
calibre_6790.mobi,chapter one it was a chapter one it was a,books
project_export_4842.7z,,archives
banner_3390.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
expenses_mar.xlsx,budget forecast q1,spreadsheets
song_demo_9612.wav,,audio
download_9391,,other
styles_main.css,import pandas as pd function render props,code
scan_doc6622.jpg,,images
banner_2572.ai,layer mask vector artboard,design
vacation_lake.jpeg,,images
banner_1710.ai,,design
untitled_4249,,other
inter_bold.ttf,,fonts
voice_memo_865.m4a,,audio
pitch_deck_v786.pptx,market opportunity pricing market opportunity pricing,presentations
report_draft_8193.docx,invoice total due meeting agenda attendees,documents
letter_to_umbrella.txt,meeting agenda attendees invoice total due,documents
physics_book.epub,chapter one it was a,books
banner_2418.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
budget_2020.xlsx,"column,values budget forecast q1 column,values sum of expenses",spreadsheets
banner_5257.ai,,design
newfile_9714,,other
budget_2021.xlsx,,spreadsheets
newfile_9266,,other
project_export_4139.7z,compressed archive contents,archives
calibre_7822.mobi,preface acknowledgements,books
physics_book.epub,preface acknowledgements preface acknowledgements chapter one it was a chapter one it was a,books
utils_7517.py,function render props export default component function render props,code
backup_2026-04-04.zip,,archives
untitled_3780,,other
IMG_2832.jpg,,images
birthday_2024.mp4,,videos
document1,,other
app_component_2273.tsx,function render props export default component function render props,code
quarterly_review_q3.pptx,market opportunity pricing,presentations
utils_3804.py,function render props function render props,code
inter_bold.ttf,,fonts
interview_recording_6604.flac,,audio
birthday_2025.mp4,,videos
photos_archive_2016.tar.gz,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
training_cooking.key,slide overview agenda,presentations
letter_to_acme.txt,meeting agenda attendees invoice total due meeting agenda attendees agreement between parties,documents
app_component_7515.tsx,function render props function render props,code
gothic_6459.otf,,fonts
scan_doc1118.jpg,,images
newfile_9629,,other
config_9466.json,,data
gothic_3919.otf,,fonts
IMG_8753.jpg,,images
IMG_9635.jpg,,images
logo_draft_v5328.psd,layer mask vector artboard layer mask vector artboard,design
logo_draft_v7517.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
grotesk_medium.woff2,,fonts
cooking_book.epub,chapter one it was a chapter one it was a,books
banner_5401.ai,layer mask vector artboard layer mask vector artboard,design
newfile_7119,,other
wireframes_6713.fig,layer mask vector artboard layer mask vector artboard,design
expenses_may.xlsx,budget forecast q1 budget forecast q1 budget forecast q1,spreadsheets
photos_archive_2019.tar.gz,compressed archive contents,archives
resume_wei_kim.docx,agreement between parties meeting agenda attendees,documents
utils_8034.py,export default component import pandas as pd import pandas as pd function render props,code
download_3841,,other
pitch_deck_v8155.pptx,slide overview agenda,presentations
gardening_book.epub,preface acknowledgements,books
drone_flight_beach.mov,,videos
calibre_3143.mobi,preface acknowledgements chapter one it was a,books
calibre_3009.mobi,preface acknowledgements,books
physics_book.epub,chapter one it was a preface acknowledgements chapter one it was a preface acknowledgements,books
download_9086,,other
screenshot_2023-03-07.png,,images
inter_bold.ttf,,fonts
untitled_120,,other
song_demo_2229.wav,,audio
query_runner.py,function render props function render props,code
meeting_notes_2015-01-26.txt,meeting agenda attendees invoice total due dear sir or madam,documents
photos_archive_2017.tar.gz,compressed archive contents compressed archive contents compressed archive contents,archives
expenses_mar.xlsx,budget forecast q1 sum of expenses sum of expenses,spreadsheets
inter_bold.ttf,,fonts
project_export_6995.7z,compressed archive contents compressed archive contents,archives
birthday_2021.mp4,,videos
expenses_may.xlsx,"column,values column,values sum of expenses",spreadsheets
birthday_2015.mp4,,videos
training_history.key,slide overview agenda,presentations
gothic_6767.otf,,fonts
history_book.epub,chapter one it was a,books
hours_tracking_9504.ods,"sum of expenses budget forecast q1 column,values",spreadsheets
export_orders.csv,"id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
quarterly_review_q2.pptx,market opportunity pricing slide overview agenda slide overview agenda slide overview agenda,presentations
project_export_2513.7z,compressed archive contents compressed archive contents,archives
export_orders.csv,"id,name,value id,name,value",data
quarterly_review_q2.pptx,,presentations
calibre_9284.mobi,,books
manual_v388.pdf,,documents
download_1733,,other
document1,,other
wireframes_421.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
manual_v5759.pdf,invoice total due invoice total due dear sir or madam invoice total due,documents
metrics_2021-04-04.json,,data
lecture_cooking.mkv,,videos
physics_book.epub,,books
styles_main.css,export default component function render props,code
physics_book.epub,chapter one it was a,books
letter_to_acme.txt,invoice total due dear sir or madam,documents
untitled_7113,,other
manual_v2482.pdf,,documents
grotesk_medium.woff2,,fonts
project_export_926.7z,compressed archive contents,archives
banner_2927.ai,layer mask vector artboard,design
utils_4746.py,export default component function render props import pandas as pd,code
config_4394.json,,data
wireframes_3263.fig,layer mask vector artboard layer mask vector artboard,design
IMG_8639.jpg,,images
vacation_mountains.jpeg,,images
budget_2019.xlsx,sum of expenses,spreadsheets
quarterly_review_q4.pptx,,presentations
backup_2025-09-07.zip,compressed archive contents compressed archive contents,archives
metrics_2022-07-13.json,"id,name,value",data
vacation_beach.jpeg,,images
meeting_notes_2019-03-07.txt,invoice total due,documents
voice_memo_7111.m4a,,audio
newfile_5656,,other
resume_priya_garcia.docx,dear sir or madam dear sir or madam,documents
VID_6450.mp4,,videos
untitled_1054,,other
newfile_8944,,other
training_history.key,market opportunity pricing market opportunity pricing,presentations
receipt_9268.pdf,meeting agenda attendees agreement between parties invoice total due,documents
IMG_7720.jpg,,images
voice_memo_4210.m4a,,audio
document1,,other
server_main.go,import pandas as pd import pandas as pd import pandas as pd,code
report_draft_6968.docx,agreement between parties invoice total due agreement between parties invoice total due,documents
banner_6282.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
export_events.csv,,data
newfile_8893,,other
quarterly_review_q4.pptx,market opportunity pricing slide overview agenda,presentations
drone_flight_city.mov,,videos
metrics_2016-11-05.json,"id,name,value id,name,value {""status"": ""ok"", ""items"": 42}",data
vacation_lake.jpeg,,images
training_physics.key,slide overview agenda slide overview agenda market opportunity pricing,presentations
voice_memo_7097.m4a,,audio
IMG_2677.jpg,,images
grotesk_medium.woff2,,fonts
song_demo_6018.wav,,audio
podcast_ep8678.mp3,,audio
manual_v3598.pdf,dear sir or madam meeting agenda attendees,documents
photos_archive_2026.tar.gz,compressed archive contents,archives
export_orders.csv,"id,name,value",data
query_runner.py,,code
lease_agreement_359.pdf,meeting agenda attendees dear sir or madam invoice total due invoice total due,documents
banner_3294.ai,layer mask vector artboard,design
inter_bold.ttf,,fonts
query_runner.py,import pandas as pd function render props function render props export default component,code
inter_bold.ttf,,fonts
document1,,other
screenshot_2020-11-13.png,,images
birthday_2015.mp4,,videos
backup_2023-03-10.zip,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
invoice_6430_umbrella.pdf,dear sir or madam agreement between parties dear sir or madam,documents
gardening_book.epub,preface acknowledgements,books
drone_flight_city.mov,,videos
grotesk_medium.woff2,,fonts
customers_export.tsv,"id,name,value id,name,value id,name,value {""status"": ""ok"", ""items"": 42}",data
banner_7702.ai,layer mask vector artboard layer mask vector artboard,design
meeting_notes_2022-05-02.txt,agreement between parties agreement between parties invoice total due meeting agenda attendees,documents
resume_sam_nova.docx,invoice total due dear sir or madam,documents
logo_draft_v5732.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
podcast_ep6885.mp3,,audio
vacation_lake.jpeg,,images
query_runner.py,import pandas as pd,code
banner_384.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
expenses_apr.xlsx,"column,values",spreadsheets
app_component_8962.tsx,import pandas as pd export default component,code
gothic_633.otf,,fonts
untitled_9637,,other
history_book.epub,preface acknowledgements,books
podcast_ep7792.mp3,,audio
pitch_deck_v7710.pptx,market opportunity pricing,presentations
newfile_6116,,other
download_3825,,other
logo_draft_v6885.psd,,design
utils_754.py,export default component,code
cooking_book.epub,chapter one it was a chapter one it was a,books
project_export_1170.7z,compressed archive contents compressed archive contents compressed archive contents,archives
calibre_8053.mobi,preface acknowledgements,books
budget_2016.xlsx,"column,values",spreadsheets
metrics_2020-11-15.json,"{""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42}",data
app_component_3617.tsx,,code
drone_flight_beach.mov,,videos
meeting_notes_2016-12-11.txt,invoice total due invoice total due invoice total due,documents
download_4096,,other
screenshot_2026-01-17.png,,images
resume_sam_nova.docx,invoice total due agreement between parties,documents
scan_doc6579.jpg,,images
document1,,other
quarterly_review_q3.pptx,market opportunity pricing,presentations
banner_5231.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
hours_tracking_8571.ods,budget forecast q1 sum of expenses sum of expenses,spreadsheets
gardening_book.epub,preface acknowledgements,books
gothic_9229.otf,,fonts
training_physics.key,slide overview agenda slide overview agenda market opportunity pricing,presentations
drone_flight_mountains.mov,,videos
document1,,other
inter_bold.ttf,,fonts
calibre_8960.mobi,,books
grotesk_medium.woff2,,fonts
report_draft_6231.docx,meeting agenda attendees dear sir or madam dear sir or madam agreement between parties,documents
gothic_7330.otf,,fonts
document1,,other
family_trip.png,,images
receipt_6818.pdf,,documents
calibre_7435.mobi,,books
grotesk_medium.woff2,,fonts
quarterly_review_q2.pptx,slide overview agenda market opportunity pricing slide overview agenda,presentations
newfile_1299,,other
expenses_may.xlsx,budget forecast q1 sum of expenses sum of expenses,spreadsheets
customers_export.tsv,"{""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42}",data
download_454,,other
budget_2026.xlsx,"column,values",spreadsheets
family_dinner.png,,images
backup_2024-06-04.zip,,archives
interview_recording_3845.flac,,audio
birthday_2017.mp4,,videos
expenses_may.xlsx,"column,values sum of expenses",spreadsheets
receipt_2353.pdf,,documents
history_book.epub,chapter one it was a chapter one it was a,books
grotesk_medium.woff2,,fonts
project_export_2945.7z,compressed archive contents compressed archive contents,archives
logo_draft_v9329.psd,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
vacation_beach.jpeg,,images
song_demo_5791.wav,,audio
newfile_8569,,other
lecture_cooking.mkv,,videos
training_marketing.key,,presentations
grotesk_medium.woff2,,fonts
screenshot_2021-01-15.png,,images
wireframes_1793.fig,layer mask vector artboard layer mask vector artboard,design
banner_3379.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
inter_bold.ttf,,fonts
drone_flight_mountains.mov,,videos
receipt_5876.pdf,agreement between parties dear sir or madam dear sir or madam,documents
config_5239.json,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42}",data
document1,,other
drone_flight_mountains.mov,,videos
banner_3348.ai,layer mask vector artboard layer mask vector artboard,design
wireframes_737.fig,layer mask vector artboard layer mask vector artboard,design
gothic_4987.otf,,fonts
inter_bold.ttf,,fonts
screenshot_2015-12-27.png,,images
lease_agreement_5402.pdf,meeting agenda attendees dear sir or madam agreement between parties agreement between parties,documents
family_trip.png,,images
banner_4801.ai,layer mask vector artboard,design
pitch_deck_v6833.pptx,market opportunity pricing market opportunity pricing slide overview agenda market opportunity pricing,presentations
document1,,other
drone_flight_lake.mov,,videos
wireframes_9965.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
family_dinner.png,,images
VID_1572.mp4,,videos
interview_recording_2967.flac,,audio
logo_draft_v2321.psd,layer mask vector artboard layer mask vector artboard,design
newfile_8435,,other
training_history.key,market opportunity pricing slide overview agenda market opportunity pricing,presentations
expenses_feb.xlsx,,spreadsheets
drone_flight_beach.mov,,videos
voice_memo_2480.m4a,,audio
logo_draft_v4333.psd,layer mask vector artboard layer mask vector artboard,design
utils_7162.py,,code
resume_priya_nova.docx,meeting agenda attendees invoice total due invoice total due agreement between parties,documents
birthday_2025.mp4,,videos
IMG_3552.jpg,,images
budget_2017.xlsx,sum of expenses,spreadsheets
lecture_history.mkv,,videos
download_791,,other
download_3578,,other
pitch_deck_v2919.pptx,slide overview agenda slide overview agenda slide overview agenda,presentations
backup_2021-06-12.zip,compressed archive contents compressed archive contents compressed archive contents,archives
document1,,other
photos_archive_2024.tar.gz,compressed archive contents compressed archive contents compressed archive contents,archives
song_demo_5910.wav,,audio
VID_9106.mp4,,videos
hours_tracking_8650.ods,"column,values sum of expenses budget forecast q1",spreadsheets
voice_memo_7105.m4a,,audio
banner_1239.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
styles_main.css,,code
birthday_2021.mp4,,videos
manual_v9240.pdf,dear sir or madam agreement between parties agreement between parties,documents
podcast_ep10.mp3,,audio
quarterly_review_q3.pptx,market opportunity pricing,presentations
letter_to_initech.txt,agreement between parties meeting agenda attendees,documents
VID_3804.mp4,,videos
export_orders.csv,"id,name,value id,name,value",data
cooking_book.epub,chapter one it was a chapter one it was a,books
letter_to_umbrella.txt,meeting agenda attendees dear sir or madam agreement between parties,documents
budget_2015.xlsx,"column,values column,values",spreadsheets
podcast_ep2084.mp3,,audio
config_455.json,"id,name,value id,name,value",data
photos_archive_2026.tar.gz,compressed archive contents compressed archive contents,archives
budget_2023.xlsx,,spreadsheets
interview_recording_6340.flac,,audio
backup_2020-12-18.zip,compressed archive contents,archives
wireframes_5008.fig,layer mask vector artboard layer mask vector artboard,design
metrics_2017-08-16.json,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42}",data
letter_to_hooli.txt,agreement between parties meeting agenda attendees,documents
metrics_2017-12-03.json,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
metrics_2015-01-10.json,"{""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42}",data
pitch_deck_v5990.pptx,market opportunity pricing slide overview agenda market opportunity pricing,presentations
gothic_1495.otf,,fonts
pitch_deck_v6365.pptx,slide overview agenda market opportunity pricing market opportunity pricing,presentations
metrics_2019-11-07.json,,data
metrics_2020-12-16.json,,data
quarterly_review_q4.pptx,slide overview agenda slide overview agenda market opportunity pricing slide overview agenda,presentations
backup_2018-07-28.zip,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
lecture_gardening.mkv,,videos
lease_agreement_7676.pdf,meeting agenda attendees meeting agenda attendees,documents
family_dinner.png,,images
family_trip.png,,images
app_component_3106.tsx,export default component export default component export default component import pandas as pd,code
expenses_jun.xlsx,sum of expenses,spreadsheets
customers_export.tsv,"id,name,value {""status"": ""ok"", ""items"": 42} id,name,value {""status"": ""ok"", ""items"": 42}",data
